id;alias
Q3551576;université de Clermont-Ferrand
Q20791505;université de Bordeaux
Q209842;Université de Paris
Q3551621;université de Lille
Q2383462;université de Lyon (1896-1969)
Q23197733;ancienne université d'Orléans
Q64690423;Université de Montpellier
Q1987282;université de Rennes
Q20774688;École royale de dessin (Paris)
Q578023;Ancienne université de Toulouse
Q20808141;Academia argentinensis
Q21592577;université d'Aix-Marseille (1896-1971)
